model,param_count,prompt,prompt_example,test_count,first_any_accuracy,any_any_accuracy,first_mode_accuracy,any_mode_accuracy,first_majority_accuracy,any_majority_accuracy,reason,comments
flan-t5-large,780000000,Multiply 1-digit,"Multiply two numbers.
###
6 * 6 = 36
0 * 4 = 0
8 * 7 = 56
6 * 4 = 24
7 * 5 = 35
9 * 3 = 27
###
2 * 6 =",100,0.25,0.25,0.21,0.21,0.21,0.21,Multiplication requires multiplying two values at some digits place.,
flan-t5-large,780000000,Sum,"Add two numbers.
###
49 + 97 = 146
53 + 5 = 58
33 + 65 = 98
62 + 51 = 113
100 + 38 = 138
61 + 45 = 106
###
93 + 94 =",10000,0.0128,0.0128,0.0046,0.0046,0.0026,0.0026,Summation is done after carrying occurs.,
flan-t5-xl,3000000000,Carry,"Carry the digit from the tens place.
###
59 // 10 = 5
63 // 10 = 6
15 // 10 = 1
43 // 10 = 4
75 // 10 = 7
72 // 10 = 7
###
12 // 10 =",90,0.8666666666666667,0.8666666666666667,0.8,0.7888888888888889,0.8,0.8,Carry occurs in multiplication at some digits place is greater than 9.,
flan-t5-xl,3000000000,Concatenate,"Concatenate the numbers.
###
6 & 6 & 0 = 660
4 & 8 & 7 = 487
6 & 4 & 7 = 647
5 & 9 & 3 = 593
8 & 2 & 4 = 824
2 & 1 & 9 = 219
###
9 & 9 & 3 =",1000,0.9,0.9,0.889,0.889,0.889,0.889,The digits needs to be concatenated to the final answer.,
flan-t5-xl,3000000000,Multiply 1-digit,"Multiply two numbers.
###
6 * 6 = 36
0 * 4 = 0
8 * 7 = 56
6 * 4 = 24
7 * 5 = 35
9 * 3 = 27
###
2 * 6 =",100,0.67,0.68,0.62,0.62,0.61,0.61,Multiplication requires multiplying two values at some digits place.,
flan-t5-xl,3000000000,Sum,"Add two numbers.
###
49 + 97 = 146
53 + 5 = 58
33 + 65 = 98
62 + 51 = 113
100 + 38 = 138
61 + 45 = 106
###
93 + 94 =",10000,0.1891,0.1891,0.1005,0.1005,0.094,0.094,Summation is done after carrying occurs.,
flan-t5-xxl,11000000000,Carry,"Carry the digit from the tens place.
###
59 // 10 = 5
63 // 10 = 6
15 // 10 = 1
43 // 10 = 4
75 // 10 = 7
72 // 10 = 7
###
12 // 10 =",90,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,Carry occurs in multiplication at some digits place is greater than 9.,
flan-t5-xxl,11000000000,Concatenate,"Concatenate the numbers.
###
6 & 6 & 0 = 660
4 & 8 & 7 = 487
6 & 4 & 7 = 647
5 & 9 & 3 = 593
8 & 2 & 4 = 824
2 & 1 & 9 = 219
###
9 & 9 & 3 =",1000,0.479,0.479,0.423,0.423,0.423,0.423,The digits needs to be concatenated to the final answer.,
flan-t5-xxl,11000000000,Multiply 1-digit,"Multiply two numbers.
###
6 * 6 = 36
0 * 4 = 0
8 * 7 = 56
6 * 4 = 24
7 * 5 = 35
9 * 3 = 27
###
2 * 6 =",100,0.95,0.95,0.95,0.95,0.95,0.95,Multiplication requires multiplying two values at some digits place.,
flan-t5-xxl,11000000000,Sum,"Add two numbers.
###
49 + 97 = 146
53 + 5 = 58
33 + 65 = 98
62 + 51 = 113
100 + 38 = 138
61 + 45 = 106
###
93 + 94 =",10000,0.6437,0.6437,0.6286,0.6286,0.6293,0.6293,Summation is done after carrying occurs.,
